team,season,division,name,jersey,position,height,major,hometown,high_school,previous_school,url,class,ncaa_id
Air Force,2025,I,Brody Smith,0,GK,6' 5'',,"Cary, NC",Castle View,,https://goairforcefalcons.com/sports/mens-soccer/roster/brody-smith/22958,Sophomore,721
Air Force,2025,I,Caydence Robinson,1,GK,6' 2'',,"Akron, OH",Western Reserve Academy,,https://goairforcefalcons.com/sports/mens-soccer/roster/caydence-robinson/23026,Freshman,721
Air Force,2025,I,Oliver Becker,6,M,6' 0'',,"Madison, WI",Verona Area,,https://goairforcefalcons.com/sports/mens-soccer/roster/oliver-becker/22946,Sophomore,721
Air Force,2025,I,Sean Odle,7,F,5' 11'',,"Santa Clara, CA",Adrian C. Wilcox,,https://goairforcefalcons.com/sports/mens-soccer/roster/sean-odle/23033,Freshman,721
Air Force,2025,I,Attila Toth,9,F,5' 11'',,"Phoenix, AZ",Brophy College Prep,,https://goairforcefalcons.com/sports/mens-soccer/roster/attila-toth/22960,Sophomore,721
Air Force,2025,I,Menes Ajyeman,11,M,6' 0'',,"Berryville, VA",Clark County,,https://goairforcefalcons.com/sports/mens-soccer/roster/menes-ajyeman/22944,Sophomore,721
Air Force,2025,I,Tucker Kern,12,M,5' 9'',,"Charlotte, NC",Weddington,,https://goairforcefalcons.com/sports/mens-soccer/roster/tucker-kern/23028,Freshman,721
Air Force,2025,I,Logan Sims,14,D,6' 3'',,"Colorado Springs, CO",Ascend College Prep,,https://goairforcefalcons.com/sports/mens-soccer/roster/logan-sims/23030,Freshman,721
Air Force,2025,I,Quinn Muderlak,15,M,6' 1'',,"Milwaukee, WI",Whitefish Bay,,https://goairforcefalcons.com/sports/mens-soccer/roster/quinn-muderlak/23034,Freshman,721
Air Force,2025,I,Donovan Corbett,16,M,6' 5'',,"Colorado Springs, CO",Coronado,,https://goairforcefalcons.com/sports/mens-soccer/roster/donovan-corbett/23032,Freshman,721
Air Force,2025,I,Luke Dustin,18,D,6' 1'',,"Nibley, UT",Ridgeline,,https://goairforcefalcons.com/sports/mens-soccer/roster/luke-dustin/23319,Sophomore,721
Air Force,2025,I,Andrei Bulankou,19,D,6' 2'',,"Seattle, Washington",Eastlake,,https://goairforcefalcons.com/sports/mens-soccer/roster/andrei-bulankou/22948,Sophomore,721
Air Force,2025,I,Ben Brophy,20,F,6' 0'',,"Austin, TX",St. Michael's Prepatory,,https://goairforcefalcons.com/sports/mens-soccer/roster/ben-brophy/23031,Freshman,721
